Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Half Hyrox with no equipment: 4 runs, 4 bodyweight stations",https://www.hyroxvault.com/images/pins/pin-2026-08-11.jpg,HYROX Training for Beginners,,"No sled, no SkiErg, no wall ball - just a 1 km run before each of four bodyweight stations: 40 air squats, 20 burpee broad jumps, 40 walking lunges and 40 push-ups. Four kilometres of running in Hyrox format that you can do from your front door. Save it for a travel week.",https://www.hyroxvault.com/training/beginner/,2026-09-14T09:00:00,"hyrox workout no equipment, bodyweight hyrox workout, hyrox at home, beginner hyrox training"
Run-station brick workout: 4 x 800 m with wall balls,https://www.hyroxvault.com/images/pins/pin-2026-08-12.jpg,HYROX Running Workouts,,"Fresh legs are not the problem in Hyrox - station legs are. Four rounds of an 800 m run at race pace straight into 20 wall balls, with no rest until the last round ends. Compare your first and fourth run: a gap under 15 seconds means your pacing holds up. Save it.",https://www.hyroxvault.com/workouts/compromised-running-test/,2026-09-17T09:00:00,"compromised running hyrox, run station brick, hyrox running workout, hyrox brick workout"
Farmers carry workout for Hyrox: 4 x 200 m at race weight,https://www.hyroxvault.com/images/pins/pin-2026-08-13.jpg,HYROX Wall Ball and Station Work,,"The Hyrox farmers carry is 200 m with 2 x 24 kg or 2 x 16 kg, and grip is the only thing that fails. Train four sets of 200 m with 90 seconds rest, hooking the handles rather than crushing them, and resetting within five seconds if you drop. Save it for your weekly station day.",https://www.hyroxvault.com/stations/farmers-carry/standards/,2026-09-21T09:00:00,"hyrox farmers carry, farmers carry workout, grip training hyrox, hyrox station workout"
All 8 Hyrox stations at half distance in one 35-minute round,https://www.hyroxvault.com/images/pins/pin-2026-08-14.jpg,HYROX Workouts,,"Every Hyrox station in one session at half distance: 500 m SkiErg, two sled pushes and pulls, 40 m of burpee broad jumps, a 500 m row, a 100 m carry, 50 m of sandbag lunges and 50 wall balls, with a 500 m run between each. All the skills, a third of the recovery cost. Save it.",https://www.hyroxvault.com/workouts/hyrox-simulation-workout/,2026-09-24T09:00:00,"hyrox simulation workout, half hyrox workout, hyrox station circuit, hyrox training session"
Sandbag lunge workout for Hyrox: 4 x 50 m at race weight,https://www.hyroxvault.com/images/pins/pin-2026-08-15.jpg,HYROX Wall Ball and Station Work,,"Sandbag lunges are station 7, which means you meet them with nothing left. Train four sets of 50 m at 20 kg or 10 kg with a minute rest, touching your knee down every rep and swapping shoulders every 25 m. Short steps beat long ones once your legs go. Save it.",https://www.hyroxvault.com/stations/sandbag-lunges/standards/,2026-09-28T09:00:00,"hyrox sandbag lunges, sandbag lunge workout, hyrox lunges, hyrox station training"
How to build to 8 x 1 km Hyrox repeats in four weeks,https://www.hyroxvault.com/images/pins/pin-2026-08-16.jpg,HYROX Running Workouts,,"Do not start at eight. Build from four repeats with 90 seconds rest to eight with 60 seconds over four weeks, holding the same pace on every single rep. Repeatability, not speed, is what the Hyrox run tests. Save the four-week progression and run it once a week.",https://www.hyroxvault.com/workouts/hyrox-1k-repeats/,2026-10-01T09:00:00,"hyrox 1k repeats, hyrox running workout, 1km repeats, hyrox running progression"
"The grip-and-go carry triplet: farmers carry, lunges, row",https://www.hyroxvault.com/images/pins/pin-2026-08-17.jpg,HYROX Workouts,,"Stations 6, 7 and 8 all punish the same thing - grip and posture. Three rounds of a 100 m farmers carry, 50 m of sandbag lunges and a 500 m row with two minutes rest trains the back half of a Hyrox race in about 25 minutes. Save it for your next station day.",https://www.hyroxvault.com/workouts/200m-walking-lunges/,2026-10-05T09:00:00,"hyrox carry workout, farmers carry sandbag lunge, hyrox grip training, hyrox workout"
Heavy sled pull workout: 4 x 25 m at Hyrox race weight,https://www.hyroxvault.com/images/pins/pin-2026-08-18.jpg,HYROX Wall Ball and Station Work,,"The Hyrox sled pull wrecks lower backs when athletes round their spine and yank the rope. Four sets of 25 m at 103 kg or 78 kg with two minutes rest, staying wide-footed with a flat back and long arms, sitting back into every pull. A hundred metres of quality. Save it.",https://www.hyroxvault.com/stations/sled-pull/standards/,2026-10-08T09:00:00,"hyrox sled pull workout, sled pull technique, hyrox sled pull, sled pull training"
The 40-minute easy run most Hyrox athletes skip,https://www.hyroxvault.com/images/pins/pin-2026-08-19.jpg,HYROX Running Workouts,,"Hyrox training goes wrong when every run is hard. Forty minutes at a pace where you can hold a conversation, finished with six 20-second strides, once or twice a week, all year round. Easy running builds the engine that your race-pace sessions spend. Save it as a standing session.",https://www.hyroxvault.com/training/running/,2026-10-12T09:00:00,"hyrox base run, zone 2 running hyrox, easy run workout, hyrox running training"
The Sunday long grind: 5 km of running broken by stations,https://www.hyroxvault.com/images/pins/pin-2026-08-20.jpg,HYROX Workouts,,"One long Hyrox session a week is enough, and this is it. Run 5 km one kilometre at a time, stopping after each for a station: 50 wall balls, a 500 m row, 50 m of sandbag lunges, then a 500 m SkiErg. Sixty to 75 minutes of race-specific work. Save it for the weekend.",https://www.hyroxvault.com/training/intermediate/,2026-10-15T09:00:00,"long hyrox workout, hyrox weekend session, hyrox endurance workout, hyrox training"
